bench,N,draws,mean,sd,p2.5,p25,median,p75,p97.5,frac_positive
CONTROL,1000,72,0.013790166113111723,0.028269838303585915,-0.030766286253928864,-0.00512811541557312,0.014110147953033447,0.030389726161956787,0.06578981727361678,0.6666666666666666
GPQA,50,450,0.040093286360634695,0.10578663237948786,-0.14270652681589127,-0.031577080488204956,0.0316811203956604,0.09726494550704956,0.28430998325347895,0.6333333333333333
AIME,15,450,0.0676617695649465,0.18327789166126346,-0.23418807983398438,-0.04673841595649719,0.05160951614379883,0.15939789772033697,0.486676761507988,0.6466666666666666
GSM8K,100,450,0.030121885199016995,0.07244655648126568,-0.09404958486557007,-0.021235615015029907,0.023158907890319824,0.07342158257961273,0.18542832362651815,0.6333333333333333
