base_sigma,in_paper_window,theoretical_VR_m1,R2_m1,z_naive,z_eff,naive_exact,eif_exact,gap_exact,naive_tau,eif_tau,gap_tau
0.25,False,0.010000000000000004,0.10000000000000002,5.611952738095482,5.657649348509107,1.0,1.0,0.0,1.0,1.0,0.0
0.28819719621231704,False,0.0165534673534912,0.12866027884895634,4.954467940916735,5.016068274644581,0.99999,0.999995,4.999999999921734e-06,0.9999933333333333,0.9999966666666665,3.3333333332441484e-06
0.3322304956185631,False,0.026908313382792787,0.1640375365054986,4.362419028150206,4.445068547007502,0.99995,0.99993,-2.0000000000020002e-05,0.9999666666666666,0.9999533333333332,-1.333333333330966e-05
0.38299158933399347,False,0.04278000747359419,0.20683328424988612,3.8324643809413512,3.942427812045145,0.999595,0.999765,0.00017000000000000348,0.99973,0.9998433333333333,0.00011333333333329865
0.44150840887582427,False,0.06623252094137325,0.257356796959733,3.360461765568328,3.505026558646726,0.998495,0.99908,0.0005849999999999467,0.9989966666666668,0.9993866666666665,0.0003899999999997794
0.5,True,0.09467455621301779,0.30769230769230776,2.991404430481083,3.172821408886828,0.995325,0.997775,0.002449999999999952,0.9968833333333335,0.998516666666667,0.0016333333333335975
0.5089659421686953,True,0.09942389400118476,0.3153155467165943,2.941833125222396,3.129034302832794,0.994615,0.997245,0.002630000000000021,0.9964099999999999,0.9981633333333333,0.0017533333333333845
0.5867302300023132,True,0.14413732824358325,0.3796542219488455,2.571841847323392,2.8100065269363244,0.98617,0.99354,0.007369999999999988,0.9907799999999999,0.9956933333333333,0.004913333333333436
0.6763760288786983,True,0.20117113138478918,0.4485210489874351,2.2457928163798635,2.542955469091974,0.9694,0.986855,0.017455,0.9795966666666667,0.9912366666666668,0.011640000000000095
0.7797187004322481,True,0.26979737461057596,0.5194202293043427,1.9591688499352562,2.3224549600398587,0.94292,0.977405,0.03448499999999999,0.9618933333333336,0.9849366666666666,0.02304333333333297
0.8988509731955417,True,0.3475642590969785,0.5895458074628116,1.707717324513257,2.142810149452249,0.90324,0.965345,0.062104999999999966,0.9351099999999999,0.97688,0.041770000000000085
1.0,True,0.4096000000000002,0.6400000000000001,1.5398285860396301,2.031430710250058,0.86729,0.95499,0.0877,0.9105466666666667,0.96997,0.05942333333333327
1.0361853211506709,True,0.4306134322467294,0.6562114234351071,1.4874993927412554,1.9982823989862342,0.854245,0.95277,0.09852499999999997,0.90144,0.9684999999999998,0.06705999999999979
1.1945028172479306,True,0.5144367686454707,0.7172424754889177,1.2949121389719425,1.8833295720096028,0.79648,0.9382,0.14172000000000007,0.8600400000000001,0.9587099999999998,0.0986699999999997
1.3770094511942692,True,0.594774703395267,0.7712163791020435,1.1266918830971862,1.7928153934437154,0.73295,0.925725,0.19277500000000003,0.8109633333333333,0.9503866666666667,0.13942333333333345
1.5,True,0.6400000000000001,0.8,1.035977405521825,1.7481884760609656,0.69619,0.91776,0.22157000000000004,0.7815866666666668,0.94498,0.16339333333333328
1.5874010519681994,True,0.6683208017738524,0.8175089001190461,0.9799049057341107,1.7221556883781772,0.670705,0.91371,0.24300500000000003,0.7593566666666667,0.9422633333333332,0.18290666666666655
1.8299381297668706,True,0.7330463732424471,0.8561812735878116,0.8519302444515371,1.667391512506115,0.609145,0.90471,0.29556499999999997,0.7023066666666667,0.93619,0.23388333333333322
2.0,True,0.7686245074122726,0.8767123287671234,0.7804525114363907,1.6397328540912608,0.570725,0.898335,0.32760999999999996,0.6649400000000002,0.93184,0.2668999999999998
2.109532152963293,True,0.7881593072456654,0.8877833672950093,0.7404379160017187,1.6251976309864475,0.549485,0.895275,0.34579000000000004,0.6417733333333333,0.9297966666666666,0.2880233333333333
2.4318450072150153,True,0.833835237206999,0.9131457918684174,0.6433649228530444,1.5928443061100448,0.49821,0.88753,0.38932000000000005,0.5833533333333333,0.9244966666666667,0.34114333333333346
2.5,True,0.84167999326656,0.9174311926605504,0.6260095177320475,1.587502237877657,0.4877,0.886755,0.39905499999999994,0.5715600000000001,0.9239399999999999,0.3523799999999998
2.8034036508091575,True,0.8708757615160287,0.9332072446761377,0.5588906553280472,1.568131737997204,0.45094,0.884085,0.433145,0.5249499999999998,0.9221433333333331,0.3971933333333333
3.0,True,0.8858131487889274,0.9411764705882353,0.5225834526325323,1.55851801002713,0.431435,0.881075,0.44964000000000004,0.49855666666666665,0.920023333333333,0.4214666666666663
3.23173228805829,False,0.9004003356052092,0.9488942699822827,0.48541275281479745,1.54931314064247,0.40783,0.879035,0.471205,0.4668433333333333,0.9185699999999999,0.4517266666666666
3.725504737308863,False,0.9236186253508337,0.9610507922845877,0.4215240933194597,1.535017506399816,0.371125,0.87428,0.503155,0.4137599999999999,0.9154,0.5016400000000001
4.2947200790724755,False,0.9416874705064301,0.9704058277372566,0.36599130211055453,1.5241785452471184,0.34369,0.874085,0.530395,0.36947,0.9151633333333334,0.5456933333333334
4.950905141221711,False,0.9556360061800272,0.9775663691944538,0.3177349771875051,1.5159728486942787,0.31786,0.87031,0.5524500000000001,0.3248666666666666,0.9126066666666666,0.5877399999999999
5.707347921652972,False,0.966337500170736,0.9830246691567491,0.27581169852711174,1.509768085897566,0.294425,0.86837,0.5739449999999999,0.2825,0.9112866666666669,0.6287866666666669
6.579366675314326,False,0.9745092355926167,0.9871723434095065,0.239397801990685,1.5050807558472832,0.277015,0.86789,0.590875,0.25067,0.9108933333333331,0.6602233333333332
